ID_HDC_G0,CTR_MN_NM,UC_NM_MN,GCPNT_LAT,GCPNT_LON,region,sub-region,intermediate-region
4430,Sudan,Mahas Ruqaybah [SDN],15.088017287512907,33.18033233066718,Africa,Northern Africa,Northern Africa
4832,Eritrea,Barentu [ERI],15.104593584703547,37.58625020595997,Africa,Sub-Saharan Africa,Eastern Africa
5063,Eritrea,Dbarwa [ERI],15.089838834471752,38.83776350211899,Africa,Sub-Saharan Africa,Eastern Africa
8434,India,Pamuru [IND],15.093937336935541,79.40984729019148,Asia,Southern Asia,Southern Asia
5601,Yemen,Sanaf [YEM],15.09257116609241,43.74423803359097,Asia,Western Asia,Western Asia
5112,Eritrea,Dek'Emha-Re [ERI],15.065248453402498,39.04836726837702,Africa,Sub-Saharan Africa,Eastern Africa
1451,Cape Verde,Rui Vaz [CPV],15.065248453402498,-23.587488902356682,Africa,Sub-Saharan Africa,Western Africa
7688,India,Hagaribommanahalli [IND],15.047944761667043,76.20648173706634,Asia,Southern Asia,Southern Asia
12803,Philippines,Angeles City [PHL],15.136903305740246,120.64350157932165,Asia,South-eastern Asia,South-eastern Asia
270,Guatemala,Momostenango [GTM],15.041683689666156,-91.41120050521889,Americas,Latin America and the Caribbean,Central America
5540,Yemen,At Turbah [YEM],15.040659157298162,42.986623051831806,Asia,Western Asia,Western Asia
278,Guatemala,Santa Cruz Del Quiche [GTM],15.033208069357775,-91.14516902976095,Americas,Latin America and the Caribbean,Central America
1470,Senegal,Tienene [SEN],15.040659157298162,-16.046708095240902,Africa,Sub-Saharan Africa,Western Africa
3487,Chad,Tini [TCD]; Tini [SDN],15.026725703706386,22.801920689075093,Africa,Sub-Saharan Africa,Middle Africa
7634,India,Hadagalli [IND],15.018119920657774,75.93145040219704,Asia,Southern Asia,Southern Asia
8341,India,Porumamilla [IND],15.002021022256377,78.99039918301867,Asia,Southern Asia,Southern Asia
286,Guatemala,Joyabaj [GTM],14.994996193539883,-90.81181310727736,Americas,Latin America and the Caribbean,Central America
7504,India,Shiggaon [IND],14.99011789211046,75.22365980676443,Asia,Southern Asia,Southern Asia
4633,Sudan,Hasm-Al-Qirbah [SDN],14.965258727519709,35.89439045605561,Africa,Northern Africa,Northern Africa
2759,Niger,Tanout [NER],14.973453934737009,8.87901595311148,Africa,Sub-Saharan Africa,Western Africa
12821,Philippines,Calumpit [PHL],14.963073359143342,120.76941659633805,Asia,South-eastern Asia,South-eastern Asia
1456,Senegal,Tivaouane [SEN],14.951327149868444,-16.814118166415703,Africa,Sub-Saharan Africa,Western Africa
7408,India,Yellapur [IND],14.961044096127152,74.70893732542012,Asia,Southern Asia,Southern Asia
8002,India,Pamidi [IND],14.934937500837968,77.59078824413828,Asia,Southern Asia,Southern Asia
10921,Thailand,Nakhon Ratchasima [THA],14.967157923615485,102.08847426783328,Asia,South-eastern Asia,South-eastern Asia
261,Guatemala,San Pedro Sacatepequez [GTM],14.959873370800908,-91.79127963163317,Americas,Latin America and the Caribbean,Central America
279,Guatemala,Chichicastenango [GTM],14.945385846868541,-91.11058725564384,Americas,Latin America and the Caribbean,Central America
2153,Niger,Abala [NER],14.930020699295367,3.434570122677861,Africa,Sub-Saharan Africa,Western Africa
5733,Yemen,Al Akrimah [YEM],14.930020699295367,45.50550622479717,Asia,Western Asia,Western Asia
4436,Sudan,Al Hilaliyya [SDN],14.919094627474477,33.20829432434663,Africa,Northern Africa,Northern Africa
12824,Philippines,Calumpit [PHL],14.907106542628936,120.79028169739891,Asia,South-eastern Asia,South-eastern Asia
8101,India,Tadpatri [IND],14.918441445116965,78.00105038782654,Asia,Southern Asia,Southern Asia
7730,India,Kudligi [IND],14.905437335859286,76.38576185890003,Asia,Southern Asia,Southern Asia
8585,India,Kavali [IND],14.91317642711626,79.98831828661544,Asia,Southern Asia,Southern Asia
12794,Philippines,Olongapo [PHL],14.874552065748539,120.2437247278794,Asia,South-eastern Asia,South-eastern Asia
12807,Philippines,Guagua [PHL],14.931502709419778,120.61498833568369,Asia,South-eastern Asia,South-eastern Asia
256,Guatemala,Malacatan [GTM],14.90898819982552,-92.06639285347777,Americas,Latin America and the Caribbean,Central America
2315,Niger,Tahoua [NER],14.888229619633202,5.263840580112556,Africa,Sub-Saharan Africa,Western Africa
269,Guatemala,Totonicapan [GTM],14.918044054822666,-91.37593974976537,Americas,Latin America and the Caribbean,Central America
5056,Eritrea,Adi Ugri [ERI],14.889421479158075,38.81111974678338,Africa,Sub-Saharan Africa,Eastern Africa
12817,Philippines,Calumpit [PHL],14.89232664729927,120.7181837779512,Asia,South-eastern Asia,South-eastern Asia
